"SampleID"	"Range"	"Haplogroup"	"Rank"	"Quality"
"HG00108"	"493 629 951 953 1018 2218 2259 2885 3010 3336 3338 3348 3394 3396 3594 3666 3741 3796 3915 3992 4024 4025 4336 4916 4917 5063 5108 5111 5198 5390 5460 5465 5495 6253 6359 6365 6371 7309 7705 7768 7789 7805 7843 7864 7963 8014 8020 8027 8473 8502 8994 9090 9093 9221 9254 9266 9477 9620 9899 9950 9962 10034 10084 10115 10143 10172 10181 10192 10196 10211 10217 10238 10289 10398 10499 10550 10822 10978 11025 11377 11404 11447 11485 11812 11914 11947 11969 12007 12308 12403 12406 12414 12633 12705 12950 13017 13020 13188 13404 13708 13789 13965 14016 14070 14139 14364 14470 14544 14552 14560 14766 14783 14798 14869 14935 15043 15097 15218 15301 15346 15367 15519 15607 15672 15721 15758 15766 15784 15924 16051 16482"	"X2b'd"	"1"	"1.0000"
"HG00109"	"493 629 951 953 1018 2218 2259 2885 3010 3336 3338 3348 3394 3396 3594 3666 3741 3796 3915 3992 4024 4025 4336 4916 4917 5063 5108 5111 5198 5390 5460 5465 5495 6253 6359 6365 6371 7309 7705 7768 7789 7805 7843 7864 7963 8014 8020 8027 8473 8502 8994 9090 9093 9221 9254 9266 9477 9620 9899 9950 9962 10034 10084 10115 10143 10172 10181 10192 10196 10211 10217 10238 10289 10398 10499 10550 10822 10978 11025 11377 11404 11447 11485 11812 11914 11947 11969 12007 12308 12403 12406 12414 12633 12705 12950 13017 13020 13188 13404 13708 13789 13965 14016 14070 14139 14364 14470 14544 14552 14560 14766 14783 14798 14869 14935 15043 15097 15218 15301 15346 15367 15519 15607 15672 15721 15758 15766 15784 15924 16051 16482"	"U"	"1"	"1.0000"
"HG00110"	"493 629 951 953 1018 2218 2259 2885 3010 3336 3338 3348 3394 3396 3594 3666 3741 3796 3915 3992 4024 4025 4336 4916 4917 5063 5108 5111 5198 5390 5460 5465 5495 6253 6359 6365 6371 7309 7705 7768 7789 7805 7843 7864 7963 8014 8020 8027 8473 8502 8994 9090 9093 9221 9254 9266 9477 9620 9899 9950 9962 10034 10084 10115 10143 10172 10181 10192 10196 10211 10217 10238 10289 10398 10499 10550 10822 10978 11025 11377 11404 11447 11485 11812 11914 11947 11969 12007 12308 12403 12406 12414 12633 12705 12950 13017 13020 13188 13404 13708 13789 13965 14016 14070 14139 14364 14470 14544 14552 14560 14766 14783 14798 14869 14935 15043 15097 15218 15301 15346 15367 15519 15607 15672 15721 15758 15766 15784 15924 16051 16482"	"H1e"	"1"	"1.0000"
"HG00111"	"493 629 951 953 1018 2218 2259 2885 3010 3336 3338 3348 3394 3396 3594 3666 3741 3796 3915 3992 4024 4025 4336 4916 4917 5063 5108 5111 5198 5390 5460 5465 5495 6253 6359 6365 6371 7309 7705 7768 7789 7805 7843 7864 7963 8014 8020 8027 8473 8502 8994 9090 9093 9221 9254 9266 9477 9620 9899 9950 9962 10034 10084 10115 10143 10172 10181 10192 10196 10211 10217 10238 10289 10398 10499 10550 10822 10978 11025 11377 11404 11447 11485 11812 11914 11947 11969 12007 12308 12403 12406 12414 12633 12705 12950 13017 13020 13188 13404 13708 13789 13965 14016 14070 14139 14364 14470 14544 14552 14560 14766 14783 14798 14869 14935 15043 15097 15218 15301 15346 15367 15519 15607 15672 15721 15758 15766 15784 15924 16051 16482"	"H1e"	"1"	"1.0000"
"HG00112"	"493 629 951 953 1018 2218 2259 2885 3010 3336 3338 3348 3394 3396 3594 3666 3741 3796 3915 3992 4024 4025 4336 4916 4917 5063 5108 5111 5198 5390 5460 5465 5495 6253 6359 6365 6371 7309 7705 7768 7789 7805 7843 7864 7963 8014 8020 8027 8473 8502 8994 9090 9093 9221 9254 9266 9477 9620 9899 9950 9962 10034 10084 10115 10143 10172 10181 10192 10196 10211 10217 10238 10289 10398 10499 10550 10822 10978 11025 11377 11404 11447 11485 11812 11914 11947 11969 12007 12308 12403 12406 12414 12633 12705 12950 13017 13020 13188 13404 13708 13789 13965 14016 14070 14139 14364 14470 14544 14552 14560 14766 14783 14798 14869 14935 15043 15097 15218 15301 15346 15367 15519 15607 15672 15721 15758 15766 15784 15924 16051 16482"	"H2a2a1"	"1"	"0.5000"
"HG00113"	"493 629 951 953 1018 2218 2259 2885 3010 3336 3338 3348 3394 3396 3594 3666 3741 3796 3915 3992 4024 4025 4336 4916 4917 5063 5108 5111 5198 5390 5460 5465 5495 6253 6359 6365 6371 7309 7705 7768 7789 7805 7843 7864 7963 8014 8020 8027 8473 8502 8994 9090 9093 9221 9254 9266 9477 9620 9899 9950 9962 10034 10084 10115 10143 10172 10181 10192 10196 10211 10217 10238 10289 10398 10499 10550 10822 10978 11025 11377 11404 11447 11485 11812 11914 11947 11969 12007 12308 12403 12406 12414 12633 12705 12950 13017 13020 13188 13404 13708 13789 13965 14016 14070 14139 14364 14470 14544 14552 14560 14766 14783 14798 14869 14935 15043 15097 15218 15301 15346 15367 15519 15607 15672 15721 15758 15766 15784 15924 16051 16482"	"X2b'd"	"1"	"1.0000"
"HG00114"	"493 629 951 953 1018 2218 2259 2885 3010 3336 3338 3348 3394 3396 3594 3666 3741 3796 3915 3992 4024 4025 4336 4916 4917 5063 5108 5111 5198 5390 5460 5465 5495 6253 6359 6365 6371 7309 7705 7768 7789 7805 7843 7864 7963 8014 8020 8027 8473 8502 8994 9090 9093 9221 9254 9266 9477 9620 9899 9950 9962 10034 10084 10115 10143 10172 10181 10192 10196 10211 10217 10238 10289 10398 10499 10550 10822 10978 11025 11377 11404 11447 11485 11812 11914 11947 11969 12007 12308 12403 12406 12414 12633 12705 12950 13017 13020 13188 13404 13708 13789 13965 14016 14070 14139 14364 14470 14544 14552 14560 14766 14783 14798 14869 14935 15043 15097 15218 15301 15346 15367 15519 15607 15672 15721 15758 15766 15784 15924 16051 16482"	"U5b2c"	"1"	"1.0000"
"HG00115"	"493 629 951 953 1018 2218 2259 2885 3010 3336 3338 3348 3394 3396 3594 3666 3741 3796 3915 3992 4024 4025 4336 4916 4917 5063 5108 5111 5198 5390 5460 5465 5495 6253 6359 6365 6371 7309 7705 7768 7789 7805 7843 7864 7963 8014 8020 8027 8473 8502 8994 9090 9093 9221 9254 9266 9477 9620 9899 9950 9962 10034 10084 10115 10143 10172 10181 10192 10196 10211 10217 10238 10289 10398 10499 10550 10822 10978 11025 11377 11404 11447 11485 11812 11914 11947 11969 12007 12308 12403 12406 12414 12633 12705 12950 13017 13020 13188 13404 13708 13789 13965 14016 14070 14139 14364 14470 14544 14552 14560 14766 14783 14798 14869 14935 15043 15097 15218 15301 15346 15367 15519 15607 15672 15721 15758 15766 15784 15924 16051 16482"	"T2"	"1"	"1.0000"
"HG00116"	"493 629 951 953 1018 2218 2259 2885 3010 3336 3338 3348 3394 3396 3594 3666 3741 3796 3915 3992 4024 4025 4336 4916 4917 5063 5108 5111 5198 5390 5460 5465 5495 6253 6359 6365 6371 7309 7705 7768 7789 7805 7843 7864 7963 8014 8020 8027 8473 8502 8994 9090 9093 9221 9254 9266 9477 9620 9899 9950 9962 10034 10084 10115 10143 10172 10181 10192 10196 10211 10217 10238 10289 10398 10499 10550 10822 10978 11025 11377 11404 11447 11485 11812 11914 11947 11969 12007 12308 12403 12406 12414 12633 12705 12950 13017 13020 13188 13404 13708 13789 13965 14016 14070 14139 14364 14470 14544 14552 14560 14766 14783 14798 14869 14935 15043 15097 15218 15301 15346 15367 15519 15607 15672 15721 15758 15766 15784 15924 16051 16482"	"U5b2c"	"1"	"1.0000"
"HG00117"	"493 629 951 953 1018 2218 2259 2885 3010 3336 3338 3348 3394 3396 3594 3666 3741 3796 3915 3992 4024 4025 4336 4916 4917 5063 5108 5111 5198 5390 5460 5465 5495 6253 6359 6365 6371 7309 7705 7768 7789 7805 7843 7864 7963 8014 8020 8027 8473 8502 8994 9090 9093 9221 9254 9266 9477 9620 9899 9950 9962 10034 10084 10115 10143 10172 10181 10192 10196 10211 10217 10238 10289 10398 10499 10550 10822 10978 11025 11377 11404 11447 11485 11812 11914 11947 11969 12007 12308 12403 12406 12414 12633 12705 12950 13017 13020 13188 13404 13708 13789 13965 14016 14070 14139 14364 14470 14544 14552 14560 14766 14783 14798 14869 14935 15043 15097 15218 15301 15346 15367 15519 15607 15672 15721 15758 15766 15784 15924 16051 16482"	"J1c"	"1"	"1.0000"
"HG00118"	"493 629 951 953 1018 2218 2259 2885 3010 3336 3338 3348 3394 3396 3594 3666 3741 3796 3915 3992 4024 4025 4336 4916 4917 5063 5108 5111 5198 5390 5460 5465 5495 6253 6359 6365 6371 7309 7705 7768 7789 7805 7843 7864 7963 8014 8020 8027 8473 8502 8994 9090 9093 9221 9254 9266 9477 9620 9899 9950 9962 10034 10084 10115 10143 10172 10181 10192 10196 10211 10217 10238 10289 10398 10499 10550 10822 10978 11025 11377 11404 11447 11485 11812 11914 11947 11969 12007 12308 12403 12406 12414 12633 12705 12950 13017 13020 13188 13404 13708 13789 13965 14016 14070 14139 14364 14470 14544 14552 14560 14766 14783 14798 14869 14935 15043 15097 15218 15301 15346 15367 15519 15607 15672 15721 15758 15766 15784 15924 16051 16482"	"H3a1"	"1"	"1.0000"
"HG00119"	"493 629 951 953 1018 2218 2259 2885 3010 3336 3338 3348 3394 3396 3594 3666 3741 3796 3915 3992 4024 4025 4336 4916 4917 5063 5108 5111 5198 5390 5460 5465 5495 6253 6359 6365 6371 7309 7705 7768 7789 7805 7843 7864 7963 8014 8020 8027 8473 8502 8994 9090 9093 9221 9254 9266 9477 9620 9899 9950 9962 10034 10084 10115 10143 10172 10181 10192 10196 10211 10217 10238 10289 10398 10499 10550 10822 10978 11025 11377 11404 11447 11485 11812 11914 11947 11969 12007 12308 12403 12406 12414 12633 12705 12950 13017 13020 13188 13404 13708 13789 13965 14016 14070 14139 14364 14470 14544 14552 14560 14766 14783 14798 14869 14935 15043 15097 15218 15301 15346 15367 15519 15607 15672 15721 15758 15766 15784 15924 16051 16482"	"T1a1"	"1"	"1.0000"
"HG00120"	"493 629 951 953 1018 2218 2259 2885 3010 3336 3338 3348 3394 3396 3594 3666 3741 3796 3915 3992 4024 4025 4336 4916 4917 5063 5108 5111 5198 5390 5460 5465 5495 6253 6359 6365 6371 7309 7705 7768 7789 7805 7843 7864 7963 8014 8020 8027 8473 8502 8994 9090 9093 9221 9254 9266 9477 9620 9899 9950 9962 10034 10084 10115 10143 10172 10181 10192 10196 10211 10217 10238 10289 10398 10499 10550 10822 10978 11025 11377 11404 11447 11485 11812 11914 11947 11969 12007 12308 12403 12406 12414 12633 12705 12950 13017 13020 13188 13404 13708 13789 13965 14016 14070 14139 14364 14470 14544 14552 14560 14766 14783 14798 14869 14935 15043 15097 15218 15301 15346 15367 15519 15607 15672 15721 15758 15766 15784 15924 16051 16482"	"J1c5"	"1"	"1.0000"
"HG00121"	"493 629 951 953 1018 2218 2259 2885 3010 3336 3338 3348 3394 3396 3594 3666 3741 3796 3915 3992 4024 4025 4336 4916 4917 5063 5108 5111 5198 5390 5460 5465 5495 6253 6359 6365 6371 7309 7705 7768 7789 7805 7843 7864 7963 8014 8020 8027 8473 8502 8994 9090 9093 9221 9254 9266 9477 9620 9899 9950 9962 10034 10084 10115 10143 10172 10181 10192 10196 10211 10217 10238 10289 10398 10499 10550 10822 10978 11025 11377 11404 11447 11485 11812 11914 11947 11969 12007 12308 12403 12406 12414 12633 12705 12950 13017 13020 13188 13404 13708 13789 13965 14016 14070 14139 14364 14470 14544 14552 14560 14766 14783 14798 14869 14935 15043 15097 15218 15301 15346 15367 15519 15607 15672 15721 15758 15766 15784 15924 16051 16482"	"K1a4g"	"1"	"1.0000"
"HG00122"	"493 629 951 953 1018 2218 2259 2885 3010 3336 3338 3348 3394 3396 3594 3666 3741 3796 3915 3992 4024 4025 4336 4916 4917 5063 5108 5111 5198 5390 5460 5465 5495 6253 6359 6365 6371 7309 7705 7768 7789 7805 7843 7864 7963 8014 8020 8027 8473 8502 8994 9090 9093 9221 9254 9266 9477 9620 9899 9950 9962 10034 10084 10115 10143 10172 10181 10192 10196 10211 10217 10238 10289 10398 10499 10550 10822 10978 11025 11377 11404 11447 11485 11812 11914 11947 11969 12007 12308 12403 12406 12414 12633 12705 12950 13017 13020 13188 13404 13708 13789 13965 14016 14070 14139 14364 14470 14544 14552 14560 14766 14783 14798 14869 14935 15043 15097 15218 15301 15346 15367 15519 15607 15672 15721 15758 15766 15784 15924 16051 16482"	"U5b2c"	"1"	"1.0000"
"HG00123"	"493 629 951 953 1018 2218 2259 2885 3010 3336 3338 3348 3394 3396 3594 3666 3741 3796 3915 3992 4024 4025 4336 4916 4917 5063 5108 5111 5198 5390 5460 5465 5495 6253 6359 6365 6371 7309 7705 7768 7789 7805 7843 7864 7963 8014 8020 8027 8473 8502 8994 9090 9093 9221 9254 9266 9477 9620 9899 9950 9962 10034 10084 10115 10143 10172 10181 10192 10196 10211 10217 10238 10289 10398 10499 10550 10822 10978 11025 11377 11404 11447 11485 11812 11914 11947 11969 12007 12308 12403 12406 12414 12633 12705 12950 13017 13020 13188 13404 13708 13789 13965 14016 14070 14139 14364 14470 14544 14552 14560 14766 14783 14798 14869 14935 15043 15097 15218 15301 15346 15367 15519 15607 15672 15721 15758 15766 15784 15924 16051 16482"	"H2a2b5a"	"1"	"1.0000"
"HG00124"	"493 629 951 953 1018 2218 2259 2885 3010 3336 3338 3348 3394 3396 3594 3666 3741 3796 3915 3992 4024 4025 4336 4916 4917 5063 5108 5111 5198 5390 5460 5465 5495 6253 6359 6365 6371 7309 7705 7768 7789 7805 7843 7864 7963 8014 8020 8027 8473 8502 8994 9090 9093 9221 9254 9266 9477 9620 9899 9950 9962 10034 10084 10115 10143 10172 10181 10192 10196 10211 10217 10238 10289 10398 10499 10550 10822 10978 11025 11377 11404 11447 11485 11812 11914 11947 11969 12007 12308 12403 12406 12414 12633 12705 12950 13017 13020 13188 13404 13708 13789 13965 14016 14070 14139 14364 14470 14544 14552 14560 14766 14783 14798 14869 14935 15043 15097 15218 15301 15346 15367 15519 15607 15672 15721 15758 15766 15784 15924 16051 16482"	"I2"	"1"	"1.0000"
"HG00125"	"493 629 951 953 1018 2218 2259 2885 3010 3336 3338 3348 3394 3396 3594 3666 3741 3796 3915 3992 4024 4025 4336 4916 4917 5063 5108 5111 5198 5390 5460 5465 5495 6253 6359 6365 6371 7309 7705 7768 7789 7805 7843 7864 7963 8014 8020 8027 8473 8502 8994 9090 9093 9221 9254 9266 9477 9620 9899 9950 9962 10034 10084 10115 10143 10172 10181 10192 10196 10211 10217 10238 10289 10398 10499 10550 10822 10978 11025 11377 11404 11447 11485 11812 11914 11947 11969 12007 12308 12403 12406 12414 12633 12705 12950 13017 13020 13188 13404 13708 13789 13965 14016 14070 14139 14364 14470 14544 14552 14560 14766 14783 14798 14869 14935 15043 15097 15218 15301 15346 15367 15519 15607 15672 15721 15758 15766 15784 15924 16051 16482"	"H1e"	"1"	"1.0000"
"HG00126"	"493 629 951 953 1018 2218 2259 2885 3010 3336 3338 3348 3394 3396 3594 3666 3741 3796 3915 3992 4024 4025 4336 4916 4917 5063 5108 5111 5198 5390 5460 5465 5495 6253 6359 6365 6371 7309 7705 7768 7789 7805 7843 7864 7963 8014 8020 8027 8473 8502 8994 9090 9093 9221 9254 9266 9477 9620 9899 9950 9962 10034 10084 10115 10143 10172 10181 10192 10196 10211 10217 10238 10289 10398 10499 10550 10822 10978 11025 11377 11404 11447 11485 11812 11914 11947 11969 12007 12308 12403 12406 12414 12633 12705 12950 13017 13020 13188 13404 13708 13789 13965 14016 14070 14139 14364 14470 14544 14552 14560 14766 14783 14798 14869 14935 15043 15097 15218 15301 15346 15367 15519 15607 15672 15721 15758 15766 15784 15924 16051 16482"	"H23"	"1"	"1.0000"
"HG00127"	"493 629 951 953 1018 2218 2259 2885 3010 3336 3338 3348 3394 3396 3594 3666 3741 3796 3915 3992 4024 4025 4336 4916 4917 5063 5108 5111 5198 5390 5460 5465 5495 6253 6359 6365 6371 7309 7705 7768 7789 7805 7843 7864 7963 8014 8020 8027 8473 8502 8994 9090 9093 9221 9254 9266 9477 9620 9899 9950 9962 10034 10084 10115 10143 10172 10181 10192 10196 10211 10217 10238 10289 10398 10499 10550 10822 10978 11025 11377 11404 11447 11485 11812 11914 11947 11969 12007 12308 12403 12406 12414 12633 12705 12950 13017 13020 13188 13404 13708 13789 13965 14016 14070 14139 14364 14470 14544 14552 14560 14766 14783 14798 14869 14935 15043 15097 15218 15301 15346 15367 15519 15607 15672 15721 15758 15766 15784 15924 16051 16482"	"H2a2a1"	"1"	"0.5000"
"HG00128"	"493 629 951 953 1018 2218 2259 2885 3010 3336 3338 3348 3394 3396 3594 3666 3741 3796 3915 3992 4024 4025 4336 4916 4917 5063 5108 5111 5198 5390 5460 5465 5495 6253 6359 6365 6371 7309 7705 7768 7789 7805 7843 7864 7963 8014 8020 8027 8473 8502 8994 9090 9093 9221 9254 9266 9477 9620 9899 9950 9962 10034 10084 10115 10143 10172 10181 10192 10196 10211 10217 10238 10289 10398 10499 10550 10822 10978 11025 11377 11404 11447 11485 11812 11914 11947 11969 12007 12308 12403 12406 12414 12633 12705 12950 13017 13020 13188 13404 13708 13789 13965 14016 14070 14139 14364 14470 14544 14552 14560 14766 14783 14798 14869 14935 15043 15097 15218 15301 15346 15367 15519 15607 15672 15721 15758 15766 15784 15924 16051 16482"	"K"	"1"	"1.0000"
"HG00129"	"493 629 951 953 1018 2218 2259 2885 3010 3336 3338 3348 3394 3396 3594 3666 3741 3796 3915 3992 4024 4025 4336 4916 4917 5063 5108 5111 5198 5390 5460 5465 5495 6253 6359 6365 6371 7309 7705 7768 7789 7805 7843 7864 7963 8014 8020 8027 8473 8502 8994 9090 9093 9221 9254 9266 9477 9620 9899 9950 9962 10034 10084 10115 10143 10172 10181 10192 10196 10211 10217 10238 10289 10398 10499 10550 10822 10978 11025 11377 11404 11447 11485 11812 11914 11947 11969 12007 12308 12403 12406 12414 12633 12705 12950 13017 13020 13188 13404 13708 13789 13965 14016 14070 14139 14364 14470 14544 14552 14560 14766 14783 14798 14869 14935 15043 15097 15218 15301 15346 15367 15519 15607 15672 15721 15758 15766 15784 15924 16051 16482"	"H2a2a1"	"1"	"0.5000"
"HG00130"	"493 629 951 953 1018 2218 2259 2885 3010 3336 3338 3348 3394 3396 3594 3666 3741 3796 3915 3992 4024 4025 4336 4916 4917 5063 5108 5111 5198 5390 5460 5465 5495 6253 6359 6365 6371 7309 7705 7768 7789 7805 7843 7864 7963 8014 8020 8027 8473 8502 8994 9090 9093 9221 9254 9266 9477 9620 9899 9950 9962 10034 10084 10115 10143 10172 10181 10192 10196 10211 10217 10238 10289 10398 10499 10550 10822 10978 11025 11377 11404 11447 11485 11812 11914 11947 11969 12007 12308 12403 12406 12414 12633 12705 12950 13017 13020 13188 13404 13708 13789 13965 14016 14070 14139 14364 14470 14544 14552 14560 14766 14783 14798 14869 14935 15043 15097 15218 15301 15346 15367 15519 15607 15672 15721 15758 15766 15784 15924 16051 16482"	"X2b'd"	"1"	"1.0000"
